Window,SL Multiplier,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
10,1.0,1787,3119,15.05316172355904,2790.4400000000196,1.5615221040850698,184.98999999999228,9.075958216530472,22.869033457249138,-2.519737631184406,0.24881668309927846,-38.66333333333341,-0.01213463195388424,44.65199999999959,6151.770000000018,-3361.329999999998,-0.3705990977169863,0.1534718564644353,0.3255961400183329,1.3020751403816955,1.5615221040850698,0.8946585444052644,6.27579342604619
10,2.0,1646,3169,17.55771567436209,2614.990000000028,1.5886938031591908,182.93999999999573,6.749550530539298,23.053217993079635,-3.4155189873417617,0.3160175509653011,-38.66333333333341,0.03728122046712343,44.65199999999959,6662.380000000015,-4047.3899999999876,6.956986734660484,0.1618004026535895,0.3031755752155201,1.2317865942753605,1.5886938031591908,0.8251782896812963,5.027232817628001
10,3.0,1570,3205,19.10828025477707,2579.3300000000218,1.6428853503184853,208.15999999998598,5.811769931132156,23.47650000000003,-4.039475113122159,0.2977408325750669,-38.66333333333341,0.0546580300272979,44.65199999999959,7042.950000000009,-4463.619999999986,10.254116171497344,0.1690469976634761,0.2947061935990227,1.2183545263279405,1.6428853503184853,0.8047831513260598,5.517836892272001
10,4.0,1536,3231,19.856770833333336,2294.96000000002,1.4941145833333465,263.15999999997143,5.1749449894949215,23.454327868852488,-4.5322854477611845,0.29602708798362737,-38.66333333333341,0.04578620256696434,51.73000000000002,7153.570000000009,-4858.60999999999,10.393670878155872,0.15792318292954927,0.25031105254629105,1.0249522225299428,1.4941145833333465,0.7102940266171526,5.0472225143666
1,1.0,6538,13296,24.258182930559805,8409.080000000016,1.286185377791376,49.43000000000757,8.443020530196584,7.96064312736444,-0.9428667262969556,0.15728331533443957,-54.95500000000038,-0.28796599638167797,31.055714285713748,12625.580000000002,-4216.499999999985,-8.944342172717352,0.36655068622469433,1.2416285813170342,1.2169629812446434,1.286185377791376,0.6324518652226245,8.177506781672896
1,2.0,6352,14059,27.030856423173805,8810.500000000011,1.3870434508816138,60.36999999999534,6.4325349337562026,8.239079790331973,-1.2808449351896267,0.17364195265883692,-54.95500000000038,-0.3034282614469525,37.33999999999969,14146.499999999996,-5335.9999999999845,-7.8108089262237,0.39867681380617576,1.0873925551791341,1.2924722489603395,1.3870434508816138,0.6266804182374287,7.9879512389889324
1,3.0,6264,14548,28.52809706257982,8859.050000000036,1.4142800127713977,71.61999999999898,5.525113810820619,8.355086737548966,-1.5122017434620092,0.1698379162034579,-54.95500000000038,-0.3244820071681872,37.33999999999969,14930.540000000003,-6071.489999999967,-7.303922524648874,0.41335782027419693,0.9007860096963388,1.3027478918455597,1.4142800127713977,0.6089531207038793,8.327233661281833
1,4.0,6200,14850,29.548387096774192,8823.840000000055,1.423200000000009,77.27000000000407,5.017259477915761,8.377423580786028,-1.6697210135653826,0.1533745514521317,-54.95500000000038,-0.3300657711285097,37.33999999999969,15347.440000000002,-6523.599999999949,-8.621803083265704,0.42434797480584047,0.7865165874190653,1.299048163346195,1.423200000000009,0.5941979797979835,9.279244741225474
2,1.0,4639,8653,18.32291442121147,5335.779999999952,1.1502004742401277,87.22000000000389,9.714577146227256,10.649411764705846,-1.0962300884955802,0.20189855418348043,-54.67000000000053,-0.3140057355341272,38.375,9051.999999999969,-3716.2200000000166,-3.5749317085489634,0.24079945576758058,0.856422315743224,1.0559138164885136,1.1502004742401277,0.6166393158442104,5.696922788237769
2,2.0,4479,9187,21.053806653270822,5191.779999999963,1.159138200491173,93.7600000000034,6.8255294549472385,10.766193001060412,-1.5773418124006373,0.25255473877292645,-54.67000000000053,-0.3487781480321596,38.375,10152.519999999968,-4960.740000000004,-0.31100041971553166,0.2522923000258615,0.7038584256869619,1.0214421414046255,1.159138200491173,0.5651224556438406,4.589651360821867
2,3.0,4378,9559,22.727272727272727,4799.58999999996,1.0962973960712563,128.70999999999958,5.4891520610069895,10.710904522613028,-1.9512858094603602,0.2555938595311635,-54.67000000000053,-0.39155552374887065,38.375,10657.349999999962,-5857.760000000001,0.4846552478743855,0.2503071039896185,0.5582411936558039,0.9264847205563189,1.0962973960712563,0.5021016842765939,4.289216486194925
2,4.0,4306,9763,23.80399442638179,4703.619999999977,1.0923409196469989,164.46999999999844,4.908612451541535,10.858273170731673,-2.2120860585197892,0.25501036767717367,-54.67000000000053,-0.39745363603856887,38.375,11129.729999999965,-6426.109999999988,0.025722521697139653,0.25267575301584105,0.4850454255406245,0.8991815239193068,1.0923409196469989,0.48178019051520815,4.283515723681598
3,1.0,3720,6800,17.20430107526882,3884.769999999985,1.0442930107526842,124.32999999999856,8.91485241607077,11.650828124999972,-1.3069008415660441,0.23477538208506415,-33.06299999999965,-0.34636171468912746,43.96250000000009,7456.5299999999825,-3571.7599999999984,1.5071420285491355,0.20191422119239893,0.6097721196456141,0.922385862359292,1.0442930107526842,0.5712897058823507,4.448051586491784
3,2.0,3566,7215,19.938306225462703,3971.6799999999976,1.1137633202467745,212.4100000000003,6.5661271007462565,12.16057665260196,-1.8520166402535645,0.3110763685043739,-33.06299999999965,-0.3865259870761062,43.96250000000009,8646.169999999995,-4674.489999999997,2.804452804304302,0.21608514068165138,0.5635061883269905,0.941857120604618,1.1137633202467745,0.5504753984753982,3.5803533569639003
3,3.0,3495,7477,21.23032904148784,3522.5500000000093,1.007882689556512,224.55999999999813,5.369811276795354,12.184636118598382,-2.269099506578943,0.34015948314124833,-33.06299999999965,-0.43897642529938063,43.96250000000009,9041.0,-5518.44999999999,3.8529814961720414,0.20329362474135276,0.4430353627164701,0.7994761254329525,1.007882689556512,0.47111809549284595,2.962971016562832
3,4.0,3420,7678,22.426900584795323,3605.219999999995,1.0541578947368406,266.3500000000008,4.87569404163329,12.567731421121236,-2.577629218282782,0.3454265167337587,-33.06299999999965,-0.45188050081010106,43.96250000000009,9639.449999999988,-6034.229999999993,3.1275533225785,0.2110404625164548,0.4085138353106668,0.8190057555250787,1.0541578947368406,0.46955196665798316,3.0517573019715347
4,1.0,3131,5696,16.256786969019483,4358.560000000041,1.3920664324497098,165.20000000000255,10.23319145655078,15.483064833005962,-1.5130240549828151,0.17124635951720502,-39.67999999999984,-0.20251601672041802,59.88857142857114,7880.880000000035,-3522.3199999999933,-1.0659601793874134,0.19929310938585484,0.6043130487363871,1.249993908602713,1.3920664324497098,0.7651966292134904,8.129027889260616
