Window,SL Multiplier,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
10,1.0,2945,4523,9.881154499151105,1737.7700000000214,0.5900747028862551,315.9199999999919,10.66805423721207,22.84759450171831,-2.1416833842128247,0.13717111191958878,-38.66333333333341,-0.03269985582234647,44.65199999999959,6648.650000000028,-4910.8800000000065,-68.72575469619046,0.05699577280493451,0.14321114397405374,0.32754577191823153,0.5900747028862551,0.3842073844793326,4.301741778051368
1,1.0,12678,21885,14.576431613819215,5283.950000000023,0.4167810380186167,148.70999999998958,7.981177375439459,8.161482683982683,-1.0225913170528047,0.16479784540580797,-54.95500000000038,-0.2330117460123949,32.807777777777574,15082.419999999998,-9798.469999999976,-77.95763807883787,0.11676351875847518,0.36788223577972456,0.3161189490706835,0.4167810380186167,0.24144162668494507,2.529044217734221
2,1.0,8753,13479,10.556380669484748,3203.1399999999694,0.3659476750828253,255.79000000000633,10.629102052917368,11.078192640692627,-1.042251037344401,0.12085880285283562,-54.67000000000053,-0.17976498327763107,38.375,10236.249999999987,-7033.110000000018,-97.3164879885911,0.07292742216848622,0.28478075981597717,0.2372291361396861,0.3659476750828253,0.23763929074856957,3.0278942571392458
3,1.0,6707,10455,10.690323542567466,2709.4200000000114,0.40396898762487127,283.82999999999925,10.288829364788342,12.590613668061364,-1.223716831299629,0.12037948856389122,-33.06299999999965,-0.19707540930400622,43.96250000000009,9027.469999999998,-6318.049999999985,-54.92770831658655,0.07107814796354855,0.24643592057530941,0.2530797943216372,0.40396898762487127,0.2591506456241044,3.35579584565576
4,1.0,5412,8651,10.569105691056912,3129.5400000000545,0.578259423503336,291.1299999999949,11.096171401369556,16.032202797202885,-1.4448409471418306,0.09622590770484818,-39.67999999999984,-0.13990860818576323,59.88857142857114,9170.42000000005,-6040.879999999994,-75.33862148455295,0.07928224848976592,0.2771942578451151,0.4023262778702126,0.578259423503336,0.3617547104381059,6.009394323169387
5,1.0,4686,7406,10.456679470763978,2779.2400000000152,0.593094323516862,213.07999999999515,11.006179386010595,17.040857142857167,-1.548299055030572,0.0481979901293327,-38.45249999999987,-0.048628727753720596,59.71142857142832,8350.020000000011,-5570.779999999998,-80.14079645088533,0.07656506048318654,0.2378259537827324,0.39550942490220486,0.593094323516862,0.37526870105320215,12.305374600172636
6,1.0,4107,6475,10.299488677867057,2647.2000000000317,0.6445580715851064,281.34999999998377,11.263751779833301,18.64092198581566,-1.6549478672985758,0.059941391549497965,-43.548333333333176,-0.05314602018655883,59.26285714285677,7885.110000000024,-5237.909999999993,-63.180977856361444,0.07589297700417995,0.23591687364052813,0.43542295029755795,0.6445580715851064,0.4088339768339817,10.753138272621648
7,1.0,3695,5772,10.013531799729364,2688.2400000000202,0.7275345060893154,232.10999999999876,11.863768599098783,21.00143243243243,-1.7702159526297385,0.05649388286499458,-49.36400000000003,-0.0019364283663959665,58.69999999999982,7770.529999999999,-5082.289999999979,-62.42628065284303,0.0756618289699352,0.23450534310121876,0.5100302997310202,0.7275345060893154,0.4657380457380492,12.878111207684736
8,1.0,3410,5266,9.70674486803519,2655.179999999993,0.7786451612903206,297.5299999999977,12.247286995744425,23.48175226586101,-1.91730236043462,0.10716542117869371,-41.01799999999957,-0.045849241577902794,50.48666666666713,7772.459999999995,-5117.280000000001,-53.87102668779882,0.0722156293997915,0.21976762643357856,0.5481190710327859,0.7786451612903206,0.5042119255601961,7.265824672978828
9,1.0,3143,4835,9.958638243716194,1951.52,0.6209099586382437,330.719999999998,10.758325596431893,22.279361022364196,-2.070894845360822,0.131906280775119,-38.27333333333354,-0.0006645114615937551,50.620000000000346,6973.439999999993,-5021.919999999993,-65.47733554410597,0.06145047854693896,0.15598147139202362,0.35405904792518816,0.6209099586382437,0.4036235780765253,4.707205411217717
