v,vw,o,c,h,l,t,n,timestamp
14,1944.5221,1944.36,1944.88,1944.93,1944.0,1686182400000,14,2023-06-08 00:00:00
13,1945.08,1944.61,1945.26,1945.41,1944.61,1686182700000,13,2023-06-08 00:05:00
13,1945.0238,1945.41,1945.29,1945.41,1944.88,1686183000000,13,2023-06-08 00:10:00
13,1945.3677,1945.0,1945.37,1945.61,1945.0,1686183300000,13,2023-06-08 00:15:00
13,1945.2877,1945.2,1945.22,1945.35,1945.2,1686183600000,13,2023-06-08 00:20:00
13,1945.3454,1944.6,1945.32,1945.63,1944.6,1686183900000,13,2023-06-08 00:25:00
13,1945.7239,1945.68,1945.67,1945.89,1945.31,1686184200000,13,2023-06-08 00:30:00
13,1945.5615,1944.9,1945.79,1945.9,1944.9,1686184500000,13,2023-06-08 00:35:00
10,1945.688,1945.66,1945.78,1945.81,1945.5,1686184800000,10,2023-06-08 00:40:00
13,1945.7831,1945.9,1945.96,1945.99,1945.41,1686185100000,13,2023-06-08 00:45:00
15,1945.8573,1945.1,1945.94,1946.15,1945.1,1686185400000,15,2023-06-08 00:50:00
14,1945.9107,1945.71,1946.12,1946.14,1945.2,1686185700000,14,2023-06-08 00:55:00
13,1946.1215,1946.4,1945.92,1946.47,1945.92,1686186000000,13,2023-06-08 01:00:00
14,1946.1507,1945.6,1946.47,1946.47,1945.6,1686186300000,14,2023-06-08 01:05:00
14,1946.1107,1946.58,1945.69,1946.58,1945.63,1686186600000,14,2023-06-08 01:10:00
13,1945.3431,1945.39,1945.2,1945.93,1945.12,1686186900000,13,2023-06-08 01:15:00
13,1945.3515,1945.16,1945.15,1945.69,1945.12,1686187200000,13,2023-06-08 01:20:00
13,1945.1208,1945.3,1944.86,1945.68,1944.1,1686187500000,13,2023-06-08 01:25:00
13,1944.9285,1945.22,1944.62,1945.4,1944.57,1686187800000,13,2023-06-08 01:30:00
13,1945.4677,1944.9,1945.57,1945.84,1944.78,1686188100000,13,2023-06-08 01:35:00
14,1945.7893,1945.65,1945.87,1946.09,1945.2,1686188400000,14,2023-06-08 01:40:00
13,1945.6492,1945.96,1945.68,1945.96,1945.36,1686188700000,13,2023-06-08 01:45:00
13,1945.4431,1945.92,1945.23,1945.92,1945.16,1686189000000,13,2023-06-08 01:50:00
14,1945.435,1945.27,1945.77,1945.77,1944.6,1686189300000,14,2023-06-08 01:55:00
13,1945.9515,1945.97,1946.51,1946.51,1945.48,1686189600000,13,2023-06-08 02:00:00
13,1946.6208,1946.7,1946.39,1946.89,1946.39,1686189900000,13,2023-06-08 02:05:00
13,1945.7408,1945.98,1945.28,1946.48,1945.28,1686190200000,13,2023-06-08 02:10:00
13,1945.5231,1945.47,1945.93,1945.93,1945.31,1686190500000,13,2023-06-08 02:15:00
13,1946.2839,1946.06,1946.6,1946.78,1945.73,1686190800000,13,2023-06-08 02:20:00
12,1946.185,1946.56,1945.85,1946.7,1945.48,1686191100000,12,2023-06-08 02:25:00
13,1945.4508,1945.76,1945.2,1945.78,1945.03,1686191400000,13,2023-06-08 02:30:00
13,1944.8815,1945.13,1944.94,1945.2,1944.58,1686191700000,13,2023-06-08 02:35:00
13,1945.2846,1944.93,1945.71,1945.85,1944.88,1686192000000,13,2023-06-08 02:40:00
14,1945.78,1945.71,1946.0,1946.05,1945.45,1686192300000,14,2023-06-08 02:45:00
13,1945.9077,1946.09,1945.75,1946.38,1945.0,1686192600000,13,2023-06-08 02:50:00
14,1946.1,1945.79,1946.22,1946.34,1945.5,1686192900000,14,2023-06-08 02:55:00
13,1946.3939,1946.13,1946.6,1946.67,1946.13,1686193200000,13,2023-06-08 03:00:00
13,1946.7138,1946.67,1946.82,1946.83,1946.56,1686193500000,13,2023-06-08 03:05:00
14,1946.6414,1945.8,1946.39,1947.02,1945.8,1686193800000,14,2023-06-08 03:10:00
13,1946.3685,1946.48,1945.89,1946.75,1945.89,1686194100000,13,2023-06-08 03:15:00
13,1946.1485,1945.95,1946.09,1946.4,1945.95,1686194400000,13,2023-06-08 03:20:00
13,1946.1223,1945.99,1946.25,1946.25,1945.84,1686194700000,13,2023-06-08 03:25:00
13,1946.3585,1946.15,1946.58,1946.68,1946.09,1686195000000,13,2023-06-08 03:30:00
13,1946.5146,1946.37,1946.62,1946.62,1946.37,1686195300000,13,2023-06-08 03:35:00
13,1946.8169,1946.64,1946.87,1946.94,1946.64,1686195600000,13,2023-06-08 03:40:00
13,1946.4746,1946.75,1946.28,1946.83,1946.25,1686195900000,13,2023-06-08 03:45:00
13,1946.2631,1946.15,1946.47,1946.47,1946.15,1686196200000,13,2023-06-08 03:50:00
13,1946.38,1946.49,1946.19,1946.54,1946.19,1686196500000,13,2023-06-08 03:55:00
14,1946.0564,1946.26,1946.02,1946.26,1945.4,1686196800000,14,2023-06-08 04:00:00
