v,vw,o,c,h,l,t,n,timestamp
14,1943.6371,1944.19,1943.41,1944.58,1942.3,1686700800000,14,2023-06-14 00:00:00
15,1943.7927,1943.66,1944.48,1944.48,1943.0,1686701100000,15,2023-06-14 00:05:00
14,1944.6321,1944.82,1944.49,1944.88,1944.0,1686701400000,14,2023-06-14 00:10:00
13,1944.8838,1944.75,1945.36,1945.36,1944.75,1686701700000,13,2023-06-14 00:15:00
13,1944.9185,1945.23,1945.08,1945.23,1944.6,1686702000000,13,2023-06-14 00:20:00
13,1944.9485,1945.08,1945.07,1945.15,1944.2,1686702300000,13,2023-06-14 00:25:00
14,1945.2157,1945.16,1945.01,1945.53,1944.6,1686702600000,14,2023-06-14 00:30:00
13,1945.1639,1945.08,1945.19,1945.29,1944.95,1686702900000,13,2023-06-14 00:35:00
13,1944.85,1944.99,1944.71,1945.19,1944.7,1686703200000,13,2023-06-14 00:40:00
14,1944.6779,1944.86,1945.11,1945.22,1943.8,1686703500000,14,2023-06-14 00:45:00
7,1944.9271,1945.06,1944.88,1945.18,1944.58,1686703800000,7,2023-06-14 00:50:00
13,1944.6685,1944.95,1944.36,1944.95,1944.36,1686704100000,13,2023-06-14 00:55:00
13,1944.47,1944.37,1944.61,1944.63,1944.3,1686704400000,13,2023-06-14 01:00:00
13,1944.3885,1944.46,1944.92,1944.92,1944.15,1686704700000,13,2023-06-14 01:05:00
13,1945.3092,1944.92,1945.68,1945.68,1944.46,1686705000000,13,2023-06-14 01:10:00
13,1946.2431,1945.46,1946.58,1946.71,1945.46,1686705300000,13,2023-06-14 01:15:00
13,1946.1246,1946.6,1946.0,1946.6,1945.71,1686705600000,13,2023-06-14 01:20:00
12,1946.2375,1946.23,1946.02,1946.45,1946.02,1686705900000,12,2023-06-14 01:25:00
14,1946.1157,1946.36,1946.39,1946.43,1945.4,1686706200000,14,2023-06-14 01:30:00
13,1946.6377,1946.65,1946.9,1946.9,1946.13,1686706500000,13,2023-06-14 01:35:00
13,1946.1808,1946.8,1946.08,1946.8,1945.81,1686706800000,13,2023-06-14 01:40:00
13,1946.4677,1945.75,1947.15,1947.15,1945.75,1686707100000,13,2023-06-14 01:45:00
13,1947.1185,1947.55,1947.06,1947.55,1946.81,1686707400000,13,2023-06-14 01:50:00
13,1947.0154,1947.13,1946.74,1947.35,1946.73,1686707700000,13,2023-06-14 01:55:00
13,1946.8346,1946.83,1946.81,1947.01,1946.62,1686708000000,13,2023-06-14 02:00:00
13,1946.5623,1946.72,1946.47,1946.73,1946.24,1686708300000,13,2023-06-14 02:05:00
13,1946.6685,1946.47,1947.14,1947.14,1946.38,1686708600000,13,2023-06-14 02:10:00
13,1947.0815,1947.25,1947.22,1947.26,1946.93,1686708900000,13,2023-06-14 02:15:00
14,1947.2486,1947.1,1947.38,1947.45,1946.6,1686709200000,14,2023-06-14 02:20:00
